brand,count,examples
"LDR",46,"LDR EMERY BOARD 10 STD | LDR IBUPROFEN TB 200MG 100 CPLT | LDR LIDOCAIN PRLF AP 4% 5 MS"
"Unknown",13,"NB FOLIC ACID TB 0.8MG 250 | JJ BABY POWDER 270GM CSTRCH | JR WATKINS SHB CR 3.3OZ LEMON"
"CURAD",11,"CURAD BFLY CLSR AP 12 MD1.75X3/8N | CURAD OUCHLESS AP 10 3X4N | CURAD ALCOHOL SWABS PA 70% 200"
"TYLENOL",10,"TYLENOL CHD SS 160MG/5ML120ML GRP | TYLENOL PM TB 25-500MG 100CPLT | TYLENOL CHD SS 160/5 120ML STB"
"B/A",10,"B/A SHEER STRIPS AP 40 1SIZE | B/A FLEXIBLE FABRIC AP 10 KN/ELB | B/A PLUS ANTIBIOTIC AP 20 ASTD"
"ADVIL",9,"ADVIL DUAL ACTION TB 250-125MG 18 | ADVIL GC 200MG 40 LQGL | ADVIL JUNIOR STRN CW 100MG 24 GRP"
"MUCINEX",8,"MUCINEX DM TB 1200-60MG 28 IR/ER | MUCINEX TB 600MG 40 ER BPK | MUCINEX F/MAX C/F/ST LQ 177ML"
"CENTRUM",5,"CENTRUM SILVER TB 200 WOMEN 50+ | CENTRUM MULTIGUMMIES CW 100 WOMEN | CENTRUM SILVER TB 100 MEN 50+"
"COPPERTONE",5,"COPPERTONE CMPL AE 156GM SPF 50 | COPPERTONE SPRT MIN AE142GM SPF50 | COPPERTONE EVRYTNE AE142GM SPF 50"
"ICE",5,"ICE BAG 11N | ICE BAG 6N | ICE IT PC KNEE"
"NEOSPORIN",5,"NEOSPORIN OI 1OZ  TUBE | NEOSPORIN PLUS PRLF CR 1OZ MS | NEOSPORIN PLUS OI 1OZ MS"
"FUT",5,"FUT ENERG WRIST SPT SB L L/XL | FUT ENERG WRIST SPT SB L S/M | FUT ENERG WRIST SPT SB R S/M"
"TOILET",5,"TOILET SEAT ELVT EQ STD W/ARMS | TOILET SEAT ELVT EQ ELG W/ARMS | TOILET SEAT EQ RAISED"
"JOHNSONS",5,"JOHNSONS BABY SH 13.6OZ | JOHNSONS BEDTIME BATH LQ 13.6OZ | JOHNSONS BEDTIME LT 13.6OZ"
"RICOLA",5,"RICOLA LZ 2MG 24 HNY HRB | RICOLA CDR LZ 3.5MG 19 H/LMN ECH | RICOLA CDR LZ 4.8MG 21 ORIG HRB"
"VAGISIL",4,"VAGISIL FEM POWDER 7OZ | VAGISIL FEM WSH LQ 12OZ LGT/FRS | VAGISIL DRY WSH AR 2.6OZ PCH/B"
"ORAL",4,"ORAL-B SATINTAPE 27Y MINT | ORAL-B PROF CAR KT RECH 1000 | ORAL-B INDICATOR TBR SFT"
"XLEAR",4,"XLEAR NSL WASH SN 1.5OZ W/XYLITOL | XLEAR MAX SINUS SN 45ML | XLEAR NASAL DEC SN 0.05% 15ML"
"AYR",3,"AYR SALINE DR 0.65% 50ML  NSL | AYR SALINE SN 0.65% 50ML  NSL | AYR BABY SALINE DR 0.65% 30ML NSL"
"CERAVE",3,"CERAVE MOISTURIZING LT 12OZ | CERAVE FACL MSTRZ LT 89ML SPF30 AM | CERAVE ITCH RELIEF CR 1% 340GM"
"ACE",3,"ACE ATHL BND DS 2N #7460 | ACE ELASTIC BANDAGE DS 3N W/HOOK | ACE ELST BND DS 4N #7604 W/HOOK"
"ARNICARE",3,"ARNICARE ARTHRITISTD 60 QD ND | ARNICARE ARNICA GL 45GM | ARNICARE ARNICA GL 75GM"
"BABY",3,"BABY OIL 3OZ | BABY SOAP BR 3OZ | BABY DOVE LQ 8OZ BODY CREAM"
"GLOVE",3,"GLOVE GV CTN MD LDY N82 | GLOVE GV CTN LRG MEN N86 | GLOVE GV CTN SM LDY 2EA N81"
"EZY",3,"EZY DOSE TAB CUTTER | EZY DOSE TAB CUTTER DLX | EZY DOSE ORAL SY W/KORK 1TSP"
"GLIDE",3,"GLIDE FLOSS 100METR UNF | GLIDE P-HLTH FLS PCK 30 D/CLN | GLIDE FLOSS THREADER 30"
"REFRESH",3,"REFRESH CONTACTS DR 12ML | REFRESH OPTIVE DR 10ML ADV STR | REFRESH PLUS DR 0.5% 30X0.4MLUD"
"SIMPLY",3,"SIMPLY SALINE SN 0.9% 126ML NSL | SIMPLY SALINE SN 0.9% 89ML NSLMST | SIMPLY SAL PL AE 0.13% 210ML 3N1"
"ANKLE",3,"ANKLE SB UN L/XL MOD LF | ANKLE SB UN S/M MOD LF | ANKLE NYLON 2WAY STR SB MD BGE"
"SALONPAS",3,"SALONPAS AP 10-6-3.1% 6 LARGE | SALONPAS PAIN RELIEVING AP 4% 6 | SALONPAS AP 0.025-1.25% 6 GEL HOT"
"ALCOHOL",3,"ALCOHOL PREP PADS 70% 100 STERILE | ALCOHOL SWABSTICKS PA 25X3 | ALCOHOL PREP PADS 70% 100 LRG"
"OMRON",3,"OMRON BL PR MON EQ 3 SER WRST | OMRON BLOOD PRESSURE 3 SER U/R | OMRON BLOOD PRESSURE 5 SER U/R"
"ONE",3,"ONE A DAY MENS 50+ TB 100 | ONE TOUCH VERIO FLEX KT | ONE A DAY WOMENS 50+ TB 65"
"TENA",3,"TENA PRTV UWEAR BF 4X16 XABS LRG | TENA PADS FOR MEN PA 20 | TENA PRTV UWEAR BF 4X16 EXTRA MD"
"BARBASOL",3,"BARBASOL AR 7OZ ORIGINAL | BARBASOL AR 7OZ SSN | BARBASOL AR 7OZ S/ALOE"
"BISACODYL",2,"BISACODYL SU 10MG 12 | BISACODYL TB 5MG 100 EC"
